#gene	sample1	sample2	sample3	sample4	sample5	sample6
anise	3092	3572	3931	253037	216811	189673
apricot	1410	2070	2315	215278	272136	287742
artichoke	1760	1696	2613	877	1256	870
arugula	313	213	134	306	136	173
asparagus	1007	1299	1808	147074	166621	149499
avocado	13479	21706	7953	6909	8370	9989
banana	11887	3856	9606	401212	775674	473281
basil	431	526	344	62211	37397	35291
beet	572	624	785	543	232	360
blackberry	5366	16387	5530	4093	6245	6933
blueberry	2604	2157	1121	82477	53628	105967
broccoli	18	16	30	20	25	19
butternut	8506	5654	7186	306899	825754	907779
cabbage	9991	8438	8990	443743	421464	929741
cantaloupe	228	230	169	6635	4892	11164
caraway	3642	2103	2667	103095	106624	112725
carrot	6073	3707	3108	3505	4127	3549
cauliflower	2936	2356	3374	152009	224168	209626
cayenne	430	566	269	235	361	123
celery	306	321	219	8860	14895	13073
chard	421	256	404	159	191	245
cherry	928	1464	1938	92105	244393	159068
chestnut	648	438	222	15551	29688	22620
chickpea	1127	2506	2466	982	1743	1065
cilantro	3197	1463	2683	125348	127140	198371
clementine	7004	7422	5765	5111	3016	2406
coconut	4128	4169	2825	1387	3258	2285
coriander	352	200	75	172	109	111
cranberry	486	442	510	507	596	707
cucumber	5509	2207	2464	112302	193314	128836
currant	2677	2088	2285	380991	222912	501103
eggplant	719	745	460	1009	488	469
elderberry	462	602	288	311	479	549
endive	1192	1143	921	646	1120	231
fennel	3639	4478	5592	165718	162017	303601
fig	2226	1596	1956	70830	90000	41758
garlic	2308	4109	4166	3826	4150	6418
ginger	437	248	565	681	205	315
gooseberry	2280	2151	3823	307307	234169	337957
grape	6560	4365	2174	356746	323764	771299
grapefruit	4673	2975	4687	3664	1813	3088
guava	3878	3395	1582	356393	67034	201169
honeydew	367	484	749	26072	43594	56774
horseradish	8503	2980	4642	859736	367419	377514
huckleberry	189	410	675	33236	24750	29990
juniper	7554	5964	12647	419568	1638921	429266
kiwi	1608	2465	7801	219910	325326	206590
kohlrabi	14	14	23	17	22	18
lavender	15938	10488	13353	607505	994183	1205392
leek	1484	1608	484	1093	409	867
lentil	2210	339	2689	866	554	1591
lettuce	5790	4722	6921	418938	350335	342309
lime	1599	2716	1105	1193	1118	763
maize	2058	952	602	1072	1544	672
mango	0	3	1	0	3	1
melon	7414	8628	2967	6026	5003	4130
mulberry	1025	1606	1227	78909	24818	74189
mushroom	1541	3941	1675	369374	236112	254000
mustard	4177	6553	8423	796537	253605	486075
nectarine	615	778	150	33252	40973	32785
okra	819	541	898	27061	28691	30039
olive	1618	3488	3444	212980	152242	77509
onion	368	341	84	236	281	114
orange	1673	2649	1838	152313	181417	137697
oregano	201	147	131	177	159	60
papaya	10854	7810	12422	6532	5215	6127
parsley	9994	7205	4988	259966	263116	354728
parsnip	5251	3697	4421	5626	2025	4664
pea	2079	4128	2167	1413	810	1379
peach	2919	2784	1316	389271	312000	372953
pear	2118	1023	998	611	585	575
pepper	8081	8175	7125	983841	566374	379849
persimmon	5515	4358	2141	3827	2302	1504
pineapple	1301	1157	968	54730	71338	58914
plantain	896	2227	1429	270	666	1039
plum	6075	3680	4356	2159	4963	2989
pomegranate	970	1600	666	61849	71121	153472
potato	580	521	627	701	552	572
pumpkin	94	76	43	2775	4795	2794
quince	1676	2154	4384	92801	332908	454979
radish	5843	6311	7234	822080	855438	300087
raisin	1647	672	1586	159431	206572	106356
raspberry	4670	8868	8886	9858	5477	8894
rhubarb	3457	1641	2680	187849	256810	235586
rosemary	4641	12392	11215	4368	6255	2477
rutabaga	2028	2540	1552	716	1603	1886
sage	16123	5366	14380	544348	862433	848635
scallion	197	149	209	167	72	117
spinach	7466	8673	4404	8139	4410	6950
strawberry	2080	1088	1171	1338	1182	830
tamarind	152	166	82	104	241	169
tangerine	1288	2147	2657	1247	891	1672
thyme	1011	475	313	1334	683	810
tomato	1416	1775	1888	696	743	420
turnip	1328	2154	1071	410	1187	547
wasabi	520	996	825	512	1091	456
watercress	534	651	964	70530	102067	148932
watermelon	2946	883	668	1920	1751	1407
yam	1765	2076	650	109042	102287	72134
zucchini	3277	7590	9533	449211	569599	544309
OR4F5	2644	5235	2347	2126	2675	1572
FO538757.2	16	16	19	23	8	12
FO538757.1	103	159	168	46	154	237
OR4F29	438	288	275	169	139	174
OR4F16	2511	3147	1348	1436	1725	1697
SAMD11	1337	5281	2727	2163	1083	2122
NOC2L	1601	1969	767	941	1147	606
KLHL17	1110	817	803	714	691	601
PLEKHN1	276	268	175	282	258	129
PERM1	3085	2802	3101	1809	2261	1612
HES4	1703	2178	1277	976	802	596
ISG15	662	821	1032	560	957	439
AGRN	3747	4119	6078	5038	3943	2937
RNF223	305	691	595	511	287	555
C1orf159	1958	1993	2681	4323	3137	2870
TTLL10	7853	7455	14412	4934	7192	5314
TNFRSF18	3450	7405	6747	8614	3743	5205
TNFRSF4	2657	1205	1547	788	696	2030
SDF4	8996	5509	5138	2394	4617	4944
B3GALT6	1734	2500	4611	3330	3792	1752
FAM132A	118	178	298	60	59	142
UBE2J2	5594	2064	8067	5892	3131	5703
SCNN1D	6793	12689	7639	3803	7771	7599
ACAP3	3005	1358	2947	2253	2362	6013
PUSL1	10555	8679	3822	3795	2964	3357
CPSF3L	1805	2535	2660	3193	3034	1297
CPTP	2372	5756	1974	2510	1390	1196
TAS1R3	1899	5088	1605	3309	817	2650
DVL1	1431	1441	1685	482	746	871
MXRA8	417	893	1012	371	387	262
AURKAIP1	2931	3929	1857	1924	1092	1279
CCNL2	4090	7496	5712	4437	2498	2261
MRPL20	543	1094	632	626	866	335
ANKRD65	208	376	264	241	190	164
TMEM88B	7472	3419	10435	12631	5410	4834
VWA1	3269	1704	2346	2171	1287	1085
ATAD3C	8743	6354	6766	2897	5531	4472
ATAD3B	4009	9193	2780	5893	969	898
ATAD3A	411	937	1473	674	971	1227
TMEM240	2602	1533	1473	1907	1349	3014
SSU72	5260	6291	9059	6830	5976	6866
AL645728.1	557	780	728	1137	574	761
FNDC10	2195	1399	2119	2587	1907	1221
MIB2	1460	2749	1584	2054	3126	2401
MMP23B	917	1560	772	790	776	484
CDK11B	463	690	363	369	565	569
SLC35E2B	3350	5217	6196	2674	3164	2801
CDK11A	9714	18980	15096	7474	8328	12225
SLC35E2	602	2119	1717	1432	1210	475
NADK	529	285	232	279	354	383
GNB1	12150	12713	8835	5994	10448	7760
CALML6	11995	8776	3924	6393	8152	4636
TMEM52	6058	15273	13196	8641	8143	7112
CFAP74	3159	1855	1926	991	3265	1871
GABRD	880	1022	517	506	367	378
PRKCZ	4183	3478	2867	2332	1169	1136
FAAP20	1128	416	671	820	763	915
SKI	5071	5564	5880	5507	3016	2909
MORN1	1031	1328	1901	1455	1241	1913
RER1	2525	1465	2258	4313	2553	2364
PEX10	1166	2055	3044	886	1812	2505
PLCH2	2929	3305	1189	1749	1037	1429
PANK4	572	585	627	250	239	597
HES5	1098	1645	736	890	768	934
TNFRSF14	1838	1986	2986	2555	1210	1814
