"logFC" "logCPM" "PValue" "FDR"
"KRTAP25-1" -2.01162349934125 5.55973879673977 4.45234441111241e-05 0.397084254379969
"AHNAK" 1.97762342664082 5.4982648255874 5.72206728553897e-05 0.397084254379969
"ARNT" 2.01413556859315 1.81794293012132 5.94704589456296e-05 0.397084254379969
"SLC24A2" 1.86262526937777 4.77386194975388 0.000159032341516833 0.79639420823092
"STPG1" 1.72789670694579 6.42623462349248 0.000383169948676675 0.971554108997281
"ILVBL" 1.68332786517867 5.03138936839861 0.000551838325598683 0.971554108997281
"TLR9" 1.66473693431009 6.78442683951322 0.000616518738099506 0.971554108997281
"CXorf23" 1.93697894348631 -1.23217366174948 0.000643618168643096 0.971554108997281
"SRSF10" 1.66828166250998 4.93099424772316 0.000678815379779781 0.971554108997281
"RP11-295K3.1" 1.66477894856169 3.42307443777652 0.000697934413458052 0.971554108997281
"GRIP1" 1.68503160238429 1.23573454691142 0.000737535444365338 0.971554108997281
"CSH2" 1.647114238631 4.04552812682181 0.00080001414154926 0.971554108997281
"ALDH1A3" -1.63032643942491 5.09837220870455 0.000807311894339384 0.971554108997281
"NCAPD3" 1.6247583647184 5.67392526790186 0.000852942303294396 0.971554108997281
"ADIRF" 1.59398236250015 5.61856423790728 0.00100720058544817 0.971554108997281
"C1orf21" 1.5882543176537 6.28077718883247 0.00107073690976854 0.971554108997281
"ZFAND4" 1.58779507334388 5.82122598755252 0.00108088602890996 0.971554108997281
"FSCN2" 1.58979173199418 4.66286286561852 0.00112467685708762 0.971554108997281
"ADAMTS3" 1.57913802885471 4.25609520153431 0.00121848976109559 0.971554108997281
"LPXN" 1.55987694154938 7.84497621860286 0.00122546219969473 0.971554108997281
"ESYT2" 1.56310444293778 5.69394926934777 0.00125557007812731 0.971554108997281
"OR10H1" -1.56535581195242 4.42652988925251 0.00134035530575831 0.971554108997281
"DNM3" -1.5528055710617 6.05110549152417 0.00136562606935209 0.971554108997281
"ZNF443" 1.56929239630642 4.41977682345514 0.00137822362964975 0.971554108997281
"SCT" 1.56488641465336 3.57391521336345 0.00138173959230837 0.971554108997281
"RET" -1.57097921075818 3.47870457323345 0.00139456919750499 0.971554108997281
"OR4X1" -1.54155743466952 3.84093300005649 0.00163965582353143 0.971554108997281
"XPO5" 1.54855996841418 2.95107350223005 0.00165188088476553 0.971554108997281
"ATP6V1E2" 1.53205574952704 4.7091565634659 0.00169081502188783 0.971554108997281
"TSG101" -1.52518893363649 4.93680072012401 0.0017066907999556 0.971554108997281
"METTL2A" 1.51923278933153 5.52877761746444 0.00172810745147968 0.971554108997281
"SDHAF4" -1.56545551014775 1.19495291181471 0.0017284217712931 0.971554108997281
"KIR3DX1" -1.51782619060615 6.5746183362838 0.00175243066186424 0.971554108997281
"OOSP2" 1.51386699553729 5.13083256877472 0.0017856769379869 0.971554108997281
"C14orf119" 1.50914459831228 6.14768448029493 0.00180692176108285 0.971554108997281
"RP11-903H12.5" 1.56707519732198 0.596021168732965 0.00191930278898711 0.971554108997281
"ZNF776" -1.5127053465962 3.83333482042578 0.00194542694231895 0.971554108997281
"AD000671.6" -1.69985995133466 -1.00601208886179 0.00197205274373393 0.971554108997281
"RHD" -1.56954227497046 0.311003840780999 0.00198814264670851 0.971554108997281
"APIP" -1.49864417180607 3.30845365722618 0.00222151069131758 0.971554108997281
"TSPAN33" 1.47993125446434 6.06766411742002 0.00222920038839216 0.971554108997281
"MRPS5" -1.49692738467167 4.37112819076966 0.00223275108369028 0.971554108997281
"CSTL1" 1.48192541176014 6.59013923238015 0.00223791622755813 0.971554108997281
"EEF1D" 1.47674801403074 5.72879165895131 0.00224620789390624 0.971554108997281
"WDR62" -1.49175472727932 4.44271415609232 0.00225419458460913 0.971554108997281
"SPATA3" -1.48762907564506 3.35990773172067 0.00239470818276525 0.971554108997281
"DPP6" 1.49588934474378 1.46702839396829 0.00248431147751792 0.971554108997281
"YBX1" 1.48205823160622 3.33849542679543 0.00249651924713688 0.971554108997281
"CCRL2" -1.45787708245947 5.87594375573543 0.00255524583610431 0.971554108997281
"CCDC61" -1.46329121469422 5.44932434608452 0.0025777798763185 0.971554108997281
"DEK" -1.46285002252803 5.91879164369434 0.00269532988608405 0.971554108997281
"CRYZL1" -1.44833175832236 6.67164504477036 0.00281842220599712 0.971554108997281
"NDUFS6" 1.44674149235135 5.30608478059634 0.00283854174992229 0.971554108997281
"PEF1" -1.44692964917517 4.70848265829585 0.00293259149171367 0.971554108997281
"KRTAP5-11" -1.4565367761213 2.42570061410836 0.0029734290358855 0.971554108997281
