"logFC" "logCPM" "PValue" "FDR"
"quince" -7.27625609810837 8.03285125160176 3.41512176458005e-32 4.15709806288841e-28
"pear" -7.18511540364242 10.9206982392522 4.15066453286247e-32 4.15709806288841e-28
"banana" -7.02233222372128 13.9608892310562 1.56866033770693e-31 1.04739450748692e-27
"oregano" -7.06969965067009 9.88604606050713 2.74813788076422e-31 1.37112620235919e-27
"thyme" -7.06584143911723 8.86701924226704 3.42251061444558e-31 1.37112620235919e-27
"watermelon" -6.77464876052265 10.8968197030607 7.49365858827136e-30 2.50175791969439e-26
"apricot" -6.6960135358781 12.0247055350472 1.64947283979016e-29 4.47448506112116e-26
"coriander" -6.69190077592426 11.483768906848 1.98728004512992e-29 4.47448506112116e-26
"carrot" -6.72544090959555 10.3845965188946 2.22879451405273e-29 4.47448506112116e-26
"raspberry" -6.66845073936737 13.2758811961335 2.23378017129507e-29 4.47448506112116e-26
"artichoke" -6.69862056759093 10.2268953060924 3.03189795234448e-29 5.2760534942987e-26
"grapefruit" -6.72941978308934 8.95045978829242 3.16073296049046e-29 5.2760534942987e-26
"potato" -6.53723418621166 12.4653079081463 1.13385797809121e-28 1.74710070454962e-25
"arugula" -6.61780851428947 8.21740993780364 1.29205532596456e-28 1.84865430245686e-25
"pomegranate" -6.4923797457102 11.753986039059 4.35891707543885e-28 5.77317620741417e-25
"cantaloupe" -6.48470230650395 10.0265398711558 4.61139330630656e-28 5.77317620741417e-25
"plantain" -6.47777157828685 10.3734365437583 6.77531925048645e-28 7.98331881802906e-25
"grape" -6.39756589349305 11.7677147644602 1.13415567215649e-27 1.26212623716482e-24
"pepper" -6.38994748529264 11.2663434654133 1.26256029119864e-27 1.33107079963157e-24
"parsnip" -6.39881827854428 10.7179276225943 1.51622804862575e-27 1.51857820210112e-24
"pea" -6.35326959268531 12.090931519505 1.80351628743168e-27 1.7202968930259e-24
"wasabi" -6.36973800982567 10.3522920168206 3.56596760657631e-27 3.24681350578773e-24
"cabbage" -6.23550218633854 11.7256594698882 8.94761553899299e-27 7.65194473560592e-24
"onion" -6.28544151068855 8.85200102556118 9.16812309193461e-27 7.65194473560592e-24
"lime" -6.17888755971031 12.0555499708455 1.68144869630334e-26 1.34724395342609e-23
"tomato" -6.21044684450864 9.64076477656404 1.9664165694208e-26 1.46510187927442e-23
"gooseberry" -6.21610042418626 9.52562492848242 1.97482655585889e-26 1.46510187927442e-23
"okra" -6.28224557149595 7.35479378797626 2.61087545745779e-26 1.8529323124543e-23
"cauliflower" -6.13296850044484 11.835288790349 2.68259383261818e-26 1.8529323124543e-23
"sage" -6.12648777199486 10.5734876850855 4.48930622162499e-26 2.98773642702918e-23
"nectarine" -6.1644192639043 10.4485275340883 4.62382453386773e-26 2.98773642702918e-23
"horseradish" -6.15510321421958 9.04148063019258 4.99634224690986e-26 3.12755411087036e-23
"rhubarb" -6.08419022898309 11.9679054434254 5.32145642628198e-26 3.23012405075316e-23
"strawberry" -6.08292597394795 12.1587072529777 6.41495863054123e-26 3.77935400965798e-23
"turnip" -6.06803057791536 11.4104025395071 1.1806740250595e-25 6.75716611313339e-23
"avocado" -6.04007746024804 8.69983419145281 2.53671986953482e-25 1.41147321407366e-22
"coconut" -5.99445578445336 10.4776579377351 2.67951763180586e-25 1.45063291034333e-22
"olive" -6.03385135503812 7.84850402743244 4.32619375603522e-25 2.28047334545109e-22
"watercress" -5.93356238397823 11.062852318037 6.92055707504989e-25 3.55450458385447e-22
"lavender" -6.07506368447251 6.73986664157482 7.89663050154088e-25 3.95443513940913e-22
"beet" -6.01835414634767 7.50713711225006 9.99463839497856e-25 4.88299028511745e-22
"anise" -5.73464594494452 11.1653476312152 7.53022873947739e-24 3.59138123524933e-21
"elderberry" -5.79802255439789 8.48741733560254 1.05005290787365e-23 4.89153716223655e-21
"rutabaga" -5.61706966076638 10.9739864015828 3.33030153878628e-23 1.51611977553245e-20
"raisin" -5.54550540558268 12.0527568656523 6.84460283128128e-23 3.04676087363101e-20
"pineapple" -5.56902098389759 9.81287667122927 9.09372310899393e-23 3.95992103470125e-20
"eggplant" -5.53340585845006 8.08275675730438 2.25809863644309e-22 9.62382420991308e-20
"tamarind" -5.46183646587473 9.71638974779425 3.03415272281761e-22 1.26618985814082e-19
"cherry" -5.50359727967326 4.41707697674725 4.00241606856002e-21 1.63617135243522e-18
"kiwi" -5.20625739561016 7.89622685300572 2.40297653599997e-20 9.62680459852307e-18
"ABCG2" 2.13335553402438 6.59961001092748 1.61871241099458e-05 0.00635773104012402
"KIF1B" 2.02622275853688 5.88539784277983 3.60643638200262e-05 0.0138924090707489
"GLDC" 2.01030509587187 5.58597101654883 4.02104750905075e-05 0.0151972835195841
"GALP" 1.95798354852733 5.4925115653432 6.85867897015478e-05 0.0254418886020686
"POLR2L" 1.94982957794219 3.03415884190737 7.73406268535803e-05 0.0278144374025233
"CLPB" 1.92237156887902 7.39424411967097 7.77598968868906e-05 0.0278144374025233
"SERPINB13" 1.95138689147726 4.18923726433383 8.09462257824191e-05 0.0284462078710112
"PRKCQ" 1.91734494821242 5.85589829420573 8.89989081055614e-05 0.0307368470390086
"ATF2" 1.91854015247605 5.02168151498703 9.64365460875964e-05 0.0327410246556041
"NCBP2" 1.91053903332452 4.50369230116566 0.000108345138565536 0.0355713566729984
"AL158839.1" 1.89518078963105 6.57846594924298 0.000110183412416939 0.0355713566729984
"PCM1" 1.91076783172534 4.35890963167693 0.000110441636679949 0.0355713566729984
"RNF126" 1.89021198296155 6.03853415271418 0.000111876365153956 0.0355713566729984
"EP400" 1.87495182834236 7.22428231273205 0.000117003933715432 0.0361689907568451
"LAMC3" 1.88113353145912 5.78406560813616 0.000117367300643749 0.0361689907568451
