#cell        type      caraway         kiwi
0               1         2311         2722
1               2          633          369
2               1         2509         1259
3               1         2782         2258
4               0           20          762
5               1         2444         1240
6               1         3174         1384
7               2          155          319
8               4         2296           34
9               2          227          360
10              2          606          109
11              3           17           18
12              3           24           13
13              3           19           18
14              2          159          356
15              2          518          373
16              2          543          398
17              4         3990           28
18              2          411          345
19              1         2860         3039
20              2          235          165
21              1         2443         3022
22              4         1730           88
23              2          187          433
24              2          338          411
25              4         3422           33
26              2          511          540
27              3            9            5
28              3           23           32
29              2          582          301
30              2          292          308
31              2          615          315
32              2          171          142
33              1         1086         1052
34              0           15         3991
35              3           37           48
36              3            9           40
37              2          272          579
38              2           45          186
39              0           31         3406
40              2          578          173
41              1         1141         1010
42              2          292          582
43              4         1178           36
44              0           63         5336
45              2          319          189
46              2          864          243
47              0           13          888
48              3           17           23
49              2          494          275
50              2          262          196
51              2          559          227
52              3           34           21
53              3           30           69
54              2          330          657
55              3           19           37
56              4         1122            7
57              2          246          216
58              3           36           74
59              3           17           36
60              2          392          346
61              2           67          626
62              2          369          346
63              2          186          863
64              2          143          311
65              1         1490         1881
66              3           21           50
67              2          168          663
68              1         2286         1802
69              1         2265         2641
70              2          334          129
71              3           50           26
72              3           25           54
73              2          305          296
74              1         2046         2757
75              3           39           50
76              1          846         3349
77              4         1613           23
78              4         1329            9
79              0           20          969
80              1          848          270
81              1         2085          966
82              2          371          155
83              1         1263         3501
84              3           35            7
85              2          394          199
86              1         1701         2822
87              2          266           97
88              3           14           23
89              2          203          394
90              1          524         1974
91              0           28         2194
92              0           14          984
93              0           23         2376
94              2          400           89
95              4         1365           15
96              3           10           59
97              2          462          398
98              3           47           19
99              3           36           32
100             1         3149         1765
101             3           64           23
102             1          353         3174
103             1         1291          919
104             2          529          449
105             2          341          118
106             0           32         1940
107             1         3073         1620
108             2          196          485
109             2          276          345
110             3           29           26
111             1         3143          962
112             2          312          403
113             2           94          404
114             1          694         1804
115             2           98          313
116             3           33           51
117             1         1531          880
118             3           50           37
119             0           18         3211
120             1         1853         3122
121             2          627          484
122             2          254          158
123             3           29           40
124             2          150          592
125             2          283          285
126             2          169          376
127             2          754          154
128             2          432           88
129             4         1329           26
130             2          198          510
131             0           14         1758
132             1         3627         2159
133             1         1029          729
134             1          877         2213
135             1         1960          801
136             0           22         2267
137             3           39           29
138             2          211          446
139             3           43           10
140             2          206          619
141             2          318          194
142             2          313          224
143             0           18         4541
144             2          334          296
145             2           71           87
146             3           37           16
147             3           24           52
148             4         1816           71
149             4         2190           23
150             0           22         1671
151             2          162          216
152             4          552           42
153             4          704           26
154             3           22           17
155             2          205          345
156             3           45           80
157             2          298          118
158             3           21           52
159             4         2944           18
160             4         3861           14
161             2          340          179
162             1         3341         1728
163             1         4855         1942
164             2          304          111
165             3           34           23
166             2           72          745
167             3           41           30
168             2          586          130
169             0           51         1236
170             1         2142         1885
171             2          257          303
172             1         4261         1268
173             3           36           31
174             1         4924         1780
175             1          939          915
176             3           34           30
177             2           96           87
178             2          381          243
179             1         1614         1750
180             2          321          272
181             2           36          158
182             3           29           11
183             1         3656         2292
184             3           45           15
185             3           79           24
186             2          505          153
187             3           38           22
188             0           11         1014
189             4         3013           47
190             4         1267           31
191             2          287          186
192             2          185          501
193             2          463          318
194             3           19           47
195             3           39           74
196             0           25         3872
197             0           27         1942
198             1         1223         1697
199             4         2280           25
200             2          380          177
201             2           95          111
202             2           65          257
203             3           13           60
204             3           13           12
205             4         2636           27
206             3           17           27
207             3           21           46
208             1         1515          295
209             4         1513           16
210             0           32         2461
211             3           19           35
212             0           32         1768
213             3            6           58
214             2          138          191
215             3            4           13
216             2          258          607
217             3           39            9
218             3           94           59
219             2          102          219
220             2          486          677
221             2          514          646
222             2          199          574
223             1         1053         1083
224             0           20         2455
225             2          255          339
226             2           66          468
227             4         2759           17
228             3           13           15
229             2          160          224
230             3           17           15
231             3           52           26
232             2          292          244
233             0           88         2069
234             3           12           24
235             3           20           12
236             3           24           18
237             0           16         2652
238             0           33         1295
239             0           41          887
240             1         1675         1264
241             2          205          164
242             0           18          681
243             2          237          329
244             3            9           12
245             0           30         2499
246             2          553          375
247             0           39         2180
248             2           40          181
249             2          211          373
250             1         1887          755
251             2          317          183
252             2          441          120
253             2          483          194
254             1          919         1626
255             3           18           17
256             4         3542           80
257             2          541          177
258             4         2594            5
259             1          261         2768
260             3            6           16
261             2          283           52
262             2          481          385
263             2          248          681
264             4         2959            3
265             2          458          385
266             1         2454         2874
267             3           35           22
268             3           33           14
269             3           23            7
270             2          198          265
271             2          172          109
272             4         2566           64
273             2          466          392
274             2          201          174
275             1          552         1428
276             2          181          109
277             1         1779         3348
278             1         4011          935
279             2          161          401
280             4          509          112
281             4         1351           99
282             2           79          139
283             1         1177         2198
284             2          369          325
285             3           51           21
286             3           32           23
287             3           60           14
288             4         3157           29
289             2          261          198
290             1         1081         1603
291             4         2190           70
292             3           32           17
293             0           57         1462
294             4         2366           11
295             3           25           52
296             1          743         1472
297             3           13           20
298             4         2842           26
299             2          213          262
300             1         1643         2802
301             2           57          404
302             4         2949            9
