"logFC" "logCPM" "PValue" "FDR"
"banana" 7.60262837349365 14.1338310299767 3.80972488252428e-33 7.63125991218438e-29
"artichoke" 7.51463134781737 10.3969879055891 7.67593947999372e-33 7.68783718618771e-29
"thyme" 7.40528529074503 9.03381293845694 2.24984132088695e-32 1.50221904995622e-28
"grapefruit" 7.38280954153109 9.11820793583178 3.10891485355947e-32 1.54953973187824e-28
"oregano" 7.38446596344853 10.0513819010787 3.86785415575419e-32 1.54953973187824e-28
"plantain" 7.36292831038511 10.5373954926682 5.52963670518111e-32 1.84606921402471e-28
"raspberry" 7.31064510983326 13.4418106518944 1.51160046039391e-31 4.32555268887862e-28
"carrot" 7.2588107426914 10.5522221682233 2.11154758742896e-31 5.2870512154737e-28
"coriander" 7.2225302436233 11.6506181597539 4.01524973602239e-31 8.93660749580717e-28
"grape" 7.19096214381893 11.9410342653191 6.23344443824689e-31 1.24862125542524e-27
"cauliflower" 7.1287268662935 11.9966502656186 1.38717466874827e-30 2.28937654177556e-27
"watermelon" 7.11636401272651 11.0655212456727 1.42410394868964e-30 2.28937654177556e-27
"arugula" 7.07618826691087 8.38886670470717 1.48579177490301e-30 2.28937654177556e-27
"pepper" 7.10617207283022 11.4299440329528 1.71861125130616e-30 2.45896442677955e-27
"okra" 7.03161885597776 7.52068598073276 2.63678586885516e-30 3.52116384926918e-27
"turnip" 6.9928469727685 11.5806292142535 7.49265834317825e-30 9.38033995451272e-27
"potato" 6.96185190287787 12.6374035879337 1.22386265603335e-29 1.442070168412e-26
"pomegranate" 6.9220505021341 11.9218196774921 1.93220960847342e-29 2.15022725929617e-26
"parsnip" 6.86588038565355 10.8958331874327 3.41910014303934e-29 3.604631313959e-26
"tomato" 6.83134301451274 9.8019584291609 4.51753767532184e-29 4.52453985871859e-26
"wasabi" 6.83174759982438 10.5102061079355 4.99310894528177e-29 4.68581502033546e-26
"quince" 6.78455308711392 8.2104147701099 5.14641957203236e-29 4.68581502033546e-26
"cabbage" 6.78048395518308 11.8879355003828 1.17159981466027e-28 1.02036156032434e-25
"pear" 6.74998481605488 11.1034728341346 1.54856831777652e-28 1.26552544150961e-25
"cantaloupe" 6.73809807883943 10.2019887927315 1.57945864099348e-28 1.26552544150961e-25
"coconut" 6.7235290893019 10.6439122677682 2.02937108221865e-28 1.56347431338161e-25
"apricot" 6.63942371905883 12.1979069749709 7.20150652864861e-28 5.3427176768652e-25
"anise" 6.58312127046522 11.3243650197493 1.33935367836633e-27 9.58164054691285e-25
"gooseberry" 6.55331711145794 9.69488334930929 1.55658011181923e-27 1.07516745585693e-24
"elderberry" 6.51725938902827 8.65792080015792 1.82120427207345e-27 1.21601809246344e-24
"raisin" 6.55079711171977 12.2082785620023 2.22156558069954e-27 1.43548968216105e-24
"avocado" 6.46418454450239 8.86527850710844 3.84648197633748e-27 2.4077775146255e-24
"pineapple" 6.46192084639624 9.97316538726406 5.18832467502367e-27 3.08737147105942e-24
