"logFC" "logCPM" "PValue" "FDR"
"KRTAP25-1" -2.01384185614522 5.56133129892212 4.37804138995753e-05 0.402384090220722
"AHNAK" 1.97331201398823 5.49689709946232 5.92961249867087e-05 0.402384090220722
"ARNT" 2.01074479031032 1.81639349749799 6.02642040168821e-05 0.402384090220722
"SLC24A2" 1.85727272856421 4.7708700221323 0.000165619644785205 0.82938177617311
"STPG1" 1.72256650632739 6.42528353365783 0.000398058760158643 0.970082407656138
"ILVBL" 1.67931609979912 5.03145416965948 0.000568858609709254 0.970082407656138
"TLR9" 1.65903922134485 6.78298364085407 0.000641175848892932 0.970082407656138
"CXorf23" 1.93413115111117 -1.23183473757129 0.000644909456078837 0.970082407656138
"SRSF10" 1.6651059748495 4.93032179807994 0.000694801423901354 0.970082407656138
"RP11-295K3.1" 1.65955092210661 3.42160181000881 0.000725545521184136 0.970082407656138
"GRIP1" 1.67995799345095 1.23518327291317 0.00075074550044181 0.970082407656138
"ALDH1A3" -1.6342194288671 5.1006317748219 0.000786456550414061 0.970082407656138
"CSH2" 1.63885089196964 4.04370031132229 0.000847871985183518 0.970082407656138
"NCAPD3" 1.62308163328004 5.67318460080142 0.000863060065629973 0.970082407656138
"ADIRF" 1.58911446916578 5.61782521937355 0.00104260141693769 0.970082407656138
"ZFAND4" 1.58519611169174 5.82208090247396 0.00110101891577777 0.970082407656138
"C1orf21" 1.58344839772192 6.27963572461938 0.00110607046297657 0.970082407656138
"FSCN2" 1.58451557441095 4.66012706436952 0.00116550026997792 0.970082407656138
"ADAMTS3" 1.57403142279618 4.25552937191897 0.00126166666069699 0.970082407656138
"LPXN" 1.55486437176559 7.84391982321174 0.0012669322165818 0.970082407656138
"ESYT2" 1.55807422477645 5.69204523480558 0.00129964898119727 0.970082407656138
"DNM3" -1.55910006727667 6.05158662156506 0.00130663152108518 0.970082407656138
"OR10H1" -1.56811704188034 4.42787898223762 0.001314871183388 0.970082407656138
"RET" -1.57927578238124 3.47895922589543 0.00131912624667895 0.970082407656138
"SCT" 1.56082920041463 3.57334701413567 0.00142267512485091 0.970082407656138
"ZNF443" 1.56229164358168 4.41705909686836 0.00144356954913128 0.970082407656138
"OR4X1" -1.5443384700137 3.8410020912125 0.00161026665682791 0.970082407656138
"SDHAF4" -1.57250203897303 1.19563883468907 0.00162716602382931 0.970082407656138
"TSG101" -1.53123116931143 4.93722238577787 0.00163875355008105 0.970082407656138
"XPO5" 1.54459485877761 2.94852136535239 0.00169235561063367 0.970082407656138
"KIR3DX1" -1.52115822657499 6.57671225713026 0.00171217545805538 0.970082407656138
"ATP6V1E2" 1.52983803987216 4.70912919936555 0.00171608599244118 0.970082407656138
"METTL2A" 1.51648421827349 5.52840087933679 0.00176137955852245 0.970082407656138
"C14orf119" 1.50597052814613 6.1476244727035 0.00184532840387964 0.970082407656138
"OOSP2" 1.50801383589018 5.12969809723514 0.00185886075141089 0.970082407656138
"ZNF776" -1.51867178621134 3.83385638452147 0.00187038169067128 0.970082407656138
"RP11-903H12.5" 1.56269892163557 0.595459231654332 0.00192217023003312 0.970082407656138
"AD000671.6" -1.70663724682559 -1.00489961095308 0.00197470949699224 0.970082407656138
"RHD" -1.57310115326527 0.311351115706531 0.00199050419083592 0.970082407656138
"APIP" -1.5010418951359 3.30942840213613 0.00219078052166728 0.970082407656138
"MRPS5" -1.4992211843686 4.37233792311901 0.00219891175876908 0.970082407656138
"WDR62" -1.49393037934014 4.44352873826773 0.00222121398092107 0.970082407656138
"SPATA3" -1.49414897133928 3.36037302193918 0.0022970913127694 0.970082407656138
"TSPAN33" 1.47332074906629 6.06548280982035 0.00232731557532859 0.970082407656138
"EEF1D" 1.47139061268919 5.7282380709517 0.00232799889984787 0.970082407656138
"CSTL1" 1.47443668554586 6.58867786462445 0.00234794075418419 0.970082407656138
"CCRL2" -1.46285811744098 5.87625078829919 0.002471488492484 0.970082407656138
"DPP6" 1.49067103971455 1.4664729852813 0.00252030487382584 0.970082407656138
"DEK" -1.47060136641847 5.92252896992921 0.00256398825745501 0.970082407656138
"CCDC61" -1.46413182478742 5.44979255903135 0.00256555495997056 0.970082407656138
"YBX1" 1.47436958660661 3.3360048424485 0.00262777217748849 0.970082407656138
"CRYZL1" -1.45529613160326 6.67319466002315 0.00268918009573792 0.970082407656138
"PEF1" -1.45132804531941 4.71006107597302 0.00285011299456924 0.970082407656138
"KRTAP5-11" -1.4636565528846 2.42671054506698 0.00286691050903415 0.970082407656138
"NDUFS6" 1.44172413174939 5.30590138271462 0.00293548294013181 0.970082407656138
"RANBP3" -1.43261863093322 6.79890135934246 0.00302321616116697 0.970082407656138
"ZCRB1" -1.42787963538562 6.06651042892525 0.00306422168692572 0.970082407656138
"VGF" -1.43313681546795 5.01770704073208 0.00308454883990097 0.970082407656138
"LUZP6" -1.43941525779091 4.41799368264734 0.00313881923350223 0.970082407656138
"GIGYF2" -1.45281056739626 2.04299329361178 0.00314743455647975 0.970082407656138
"FRRS1L" 1.42273407048461 6.99570330972546 0.00321427417959613 0.970082407656138
"TEX35" -1.51571561221874 -0.0133959481644371 0.00322110093301234 0.970082407656138
"KRTAP10-3" -1.42577015038604 7.24947884321928 0.00326882276986571 0.970082407656138
"PLA2G3" -1.44414134011185 1.9658932883056 0.00327636647947782 0.970082407656138
"FERD3L" -1.42749021395245 4.47621007873596 0.0033061064188997 0.970082407656138
"SMIM10L2B" 1.41620410718682 6.08407677997519 0.00337275368350824 0.970082407656138
"ZNF75A" -1.43037527718987 3.16809454853971 0.00343873236820659 0.970082407656138
"AEN" 1.41457329271192 4.46199549809126 0.00355441307371141 0.970082407656138
"TMEM147" 1.43031911197443 2.15235766571407 0.00367431185160669 0.970082407656138
"SLTM" 1.42611747027321 1.58061607914065 0.00376298469042478 0.970082407656138
"AP2A1" 1.40627701574589 4.45344625784929 0.00376966106984079 0.970082407656138
"ABCC12" 1.39797101415778 6.54230024483428 0.00379740879607574 0.970082407656138
"TMEM126B" 1.3896313325008 5.27709050877573 0.00396891312101913 0.970082407656138
"FAM89A" -1.3923592038642 4.84661013020368 0.00409041132028629 0.970082407656138
"PAX4" -1.38283483060295 4.81226330514899 0.00426583556443294 0.970082407656138
"DDTL" -1.38798419577268 4.30943225981105 0.00428113513708323 0.970082407656138
"NUDT12" -1.3949092444534 4.37611395105611 0.00431504488417795 0.970082407656138
"NIPAL4" 1.38617566699678 4.12342275224527 0.00432792880358076 0.970082407656138
"SYNE3" -1.3758487361148 6.02783082855401 0.00432869537772704 0.970082407656138
"AMER1" 1.37730903486059 5.22412819809074 0.00435402446305982 0.970082407656138
"TMED9" -1.37313650928559 5.70756612515948 0.0044547316424214 0.970082407656138
"MAP9" 1.3684625239395 6.38081878245115 0.00451495897469685 0.970082407656138
"SPINK4" 1.36669619458756 6.15962440139565 0.00453090957097194 0.970082407656138
"TCTEX1D4" 1.37391244840631 5.07973744210349 0.00464974088145817 0.970082407656138
"SLC3A1" -1.36452992976141 4.9517755933053 0.00488286396505179 0.970082407656138
"GIPC1" 1.3698535387548 4.42677645319916 0.00488642537035965 0.970082407656138
"ERH" 1.36247226076124 7.00475110257104 0.00494289110895043 0.970082407656138
"A3GALT2" 1.3570331891722 5.70993763094731 0.00496559937606685 0.970082407656138
"RBL2" -1.36078512230792 4.63176507754637 0.0049759965851995 0.970082407656138
"PRDX6" 1.35435413997113 6.70385464325163 0.00511319014458581 0.970082407656138
"TMEM173" 1.34047686367149 8.03429708857938 0.00521665588538124 0.970082407656138
"RNF167" -1.34916209116333 5.98134033144693 0.00524400717127596 0.970082407656138
"CCNT2" 1.34800430942866 6.52008830065287 0.00527280754227599 0.970082407656138
"LMO7" 1.34395514034196 5.75862803901144 0.00531386887620283 0.970082407656138
"CBWD3" 1.35838810363869 2.78746002922582 0.00533562418713367 0.970082407656138
"LCAT" 1.3428750417939 5.3845964288922 0.00539812831360151 0.970082407656138
"SLC52A1" 1.34119732357251 6.1588521389532 0.00546203391295217 0.970082407656138
"PCDHA7" 1.34503921682057 5.30671857646686 0.00551153350301674 0.970082407656138
"TESC" 1.34626664787116 4.74868071337084 0.00558442592888202 0.970082407656138
"LENG9" 1.34692674125134 3.99808362583423 0.00560497980030245 0.970082407656138
"RP11-40A7.2" 1.3328212365225 5.97393352070891 0.00562095499585564 0.970082407656138
"ETAA1" 1.36599299120128 1.14177583211242 0.00568682380575181 0.970082407656138
"PDXP" 1.34923021866036 2.91660164760453 0.00574114672333706 0.970082407656138
"OR2D2" 1.33065901702479 6.85728345230858 0.00583354001870349 0.970082407656138
"ENSA" 1.33356373772143 5.12900158035039 0.00585716404543702 0.970082407656138
"SPOPL" -1.32834338918414 5.0019984926218 0.005894089958126 0.970082407656138
