maize	scallion	guava	mushroom	cabbage	lentil	olive	raisin	persimmon	caraway	kohlrabi	cauliflower	eggplant	nectarine	okra	clementine	leek	pumpkin	horseradish	basil	spinach	grape	chickpea	strawberry	oregano	ginger	parsley	tomato	mustard	butternut	coconut	huckleberry	type
72	254	21	51	71	4	57	328	90	23	125	82	115	73	57	94	500	51	145	92	73	70	236	126	160	99	50	360	79	66	98	147	15
21	2	2	33	131	79	189	45	1	74	1	104	165	33	0	26	472	76	98	292	4	38	433	250	24	89	15	129	0	33	199	0	9
22	1	1	60	65	69	170	180	1	44	1	126	64	1	1	51	3	114	107	2	2	55	51	3	77	9	86	25	1	75	97	2	8
21	0	1	79	112	115	54	34	1	77	0	23	127	0	0	349	1	170	0	0	0	52	0	0	151	113	125	0	0	1	143	0	0
43	0	144	198	160	20	9	25	1	115	55	96	121	0	0	152	0	92	430	1	77	51	698	0	15	42	50	82	115	29	80	2	10
41	1	110	13	111	46	123	42	0	1	93	65	59	68	2	179	41	259	138	215	223	67	209	101	96	358	49	82	178	180	81	1	11
144	0	192	114	14	99	172	158	0	241	31	232	116	675	0	89	135	34	242	188	508	60	79	47	42	244	55	51	395	97	19	1	11
90	80	0	101	173	24	41	8	50	145	3	88	82	0	93	4	0	7	2	3	1	134	0	1	24	44	91	6	1	2	94	38	4
29	69	7	18	156	78	47	214	237	32	0	126	88	1	523	42	3	32	0	0	1	29	1	3	26	114	128	1	0	1	65	321	4
26	510	3	32	34	76	26	39	64	79	3	55	71	0	544	192	0	44	61	0	1	21	109	2	156	11	66	289	2	695	80	152	12
346	139	418	92	27	84	57	146	259	215	40	115	202	1	162	102	1	46	104	0	291	7	109	0	275	68	82	249	482	96	12	273	14
112	0	322	105	18	238	167	42	1	105	167	27	203	0	1	25	0	308	0	1	170	14	1	0	83	115	137	1	103	0	41	0	2
217	0	183	209	114	41	50	58	1	7	55	185	56	221	0	107	197	93	207	54	740	114	88	416	33	83	120	84	81	177	82	0	11
384	142	4	71	118	40	111	87	429	16	2	102	182	391	423	64	468	45	182	258	4	13	57	202	32	151	160	77	1	356	99	368	13
10	36	132	114	227	23	74	159	325	53	157	40	116	0	165	118	0	172	1	1	440	253	1	1	86	10	135	1	294	0	194	58	6
23	4	1	51	63	222	15	98	1	131	2	198	328	1	0	130	0	115	2	1	0	137	0	1	29	107	27	2	2	0	24	1	0
429	51	0	24	71	24	24	29	40	95	1	41	99	181	39	53	247	11	1	585	4	49	2	227	52	16	181	2	0	0	145	223	5
63	252	1	99	4	16	25	42	35	157	2	236	67	1	398	87	1	147	284	1	2	30	256	2	104	72	3	116	0	131	16	317	12
41	1	0	107	42	76	74	91	1	215	0	74	49	1	1	499	0	127	1	0	0	62	1	0	65	79	63	1	1	0	193	6	0
112	30	0	348	200	136	97	110	343	108	0	113	314	1	117	207	1	31	1	1	5	333	0	0	124	188	383	1	1	1	134	251	4
98	0	0	25	55	41	7	62	0	31	2	236	88	419	0	202	249	96	3	16	0	167	1	436	101	87	53	0	0	2	16	2	1
24	2	2	80	97	44	23	28	0	78	3	129	51	280	1	19	683	37	1	166	3	10	1	550	75	202	129	1	0	2	58	1	1
45	0	1	16	120	196	135	38	2	72	0	35	27	271	0	31	277	129	1	215	1	50	2	435	74	30	28	0	2	2	16	3	1
7	0	3	21	162	107	48	250	0	52	3	19	17	286	2	21	44	78	0	63	0	69	3	487	0	302	118	0	0	0	22	1	1
253	111	300	51	86	62	34	389	352	43	548	73	77	1	640	125	0	15	59	2	214	17	81	0	159	124	23	84	241	174	81	457	14
59	57	2	84	91	89	265	32	133	52	2	47	78	252	230	28	181	246	1	206	0	31	2	83	40	14	20	0	2	4	67	413	5
78	143	244	255	125	70	2	594	332	58	186	28	45	3	29	91	0	148	1	5	113	34	0	0	142	83	30	0	611	3	101	52	6
148	2	1	15	102	40	0	217	0	103	0	34	54	0	0	5	0	68	1	0	0	29	0	0	141	163	23	1	0	2	86	1	0
101	22	426	46	10	62	106	37	728	107	307	219	55	0	314	90	0	25	1	4	112	21	0	1	68	216	173	0	239	4	79	127	6
25	0	0	152	31	160	48	52	0	106	2	129	171	369	0	182	365	198	269	189	1	282	533	250	245	100	256	125	0	148	86	1	9
58	1	1	164	29	129	63	95	0	103	2	32	63	102	0	79	332	66	0	397	1	85	1	184	41	47	160	0	1	2	11	2	1
59	229	90	143	160	35	20	92	159	89	568	205	128	150	31	159	186	136	83	257	111	125	174	93	30	49	92	114	158	404	181	421	15
75	1	0	242	163	99	107	59	1	107	0	215	63	1	0	36	2	41	0	1	0	323	2	0	74	12	71	4	1	3	450	0	0
72	286	1	152	60	70	46	78	197	77	2	171	41	0	15	1	0	14	274	0	0	154	353	1	56	21	117	61	3	110	48	17	12
19	0	119	91	188	66	33	140	0	166	69	103	61	0	0	263	1	29	173	0	302	5	35	3	123	40	86	210	51	364	270	0	10
316	193	44	73	43	50	48	7	192	78	440	36	24	1	341	14	0	72	2	0	361	26	1	0	3	103	160	0	106	3	90	598	6
62	1092	169	135	70	21	93	73	271	72	91	95	48	4	113	76	6	528	51	1	139	47	136	1	88	82	74	51	291	22	15	29	14
