nectarine	okra	clementine	chickpea	eggplant	oregano	mustard	spinach	olive	ginger	maize	guava	raisin	strawberry	tomato	horseradish	scallion	kohlrabi	butternut	persimmon	leek	basil	huckleberry	cauliflower	type
37	0	84	1	39	189	0	5	57	95	127	0	74	146	0	0	0	0	1	5	3	67	0	43	0
75	1	218	0	159	73	150	355	35	18	82	83	64	198	0	1	0	45	1	2	95	22	1	104	1
22	0	144	201	28	100	0	2	61	39	96	0	7	12	75	84	0	4	52	2	12	125	1	83	4
21	141	42	180	172	42	0	2	89	45	102	1	129	234	49	312	17	0	225	200	90	80	312	47	6
43	1	50	103	10	166	53	521	20	18	138	617	21	103	64	78	0	10	370	1	204	75	0	45	5
13	0	101	321	146	44	1	2	40	196	31	1	146	63	233	238	1	0	95	0	29	155	2	60	4
67	74	168	241	196	53	106	165	187	62	7	42	37	40	156	112	386	151	356	289	51	227	160	30	7
218	230	150	196	180	44	1	0	145	62	254	1	63	139	148	137	120	0	393	461	23	31	198	28	6
32	2	40	1	54	244	87	172	122	240	453	82	120	88	0	0	0	194	0	1	75	88	0	35	1
73	0	197	0	167	104	2	1	90	115	91	1	36	99	0	0	0	1	0	0	40	172	2	112	0
105	92	67	0	63	97	0	2	91	46	178	3	133	27	1	0	29	0	3	104	110	91	42	132	2
188	385	60	1	131	20	117	309	227	92	10	170	204	50	1	3	147	202	0	52	17	185	251	27	3
101	154	129	0	139	10	0	0	96	189	89	1	44	165	0	1	74	0	0	79	63	243	293	104	2
112	33	76	1	52	79	94	251	65	133	206	290	173	55	1	0	78	68	1	121	5	73	102	10	3
52	0	54	1	85	325	3	3	64	145	332	1	93	31	1	1	0	1	0	3	77	65	1	85	0
178	121	178	216	93	67	320	77	90	17	123	136	109	47	316	73	179	199	299	504	55	63	134	77	7
56	579	253	503	314	40	101	161	100	90	113	162	88	250	59	31	277	267	27	309	240	194	132	20	7
32	0	7	211	230	38	0	1	71	110	96	1	10	170	180	177	1	0	442	0	124	24	3	25	4
447	0	24	154	19	330	91	49	83	62	43	134	27	37	459	61	0	121	71	2	101	117	0	64	5
118	140	28	0	197	52	132	169	96	89	5	117	28	115	2	2	562	275	0	92	48	8	104	47	3
21	1	198	2	19	89	229	300	98	5	98	168	107	137	1	0	3	95	3	1	37	37	3	57	1
100	240	39	166	8	24	413	94	63	37	20	299	72	148	143	524	126	42	267	85	102	151	315	2	7
89	127	70	4	94	49	0	0	104	352	16	0	55	105	4	4	86	0	1	82	61	176	480	66	2
178	165	78	2	40	137	4	0	263	115	123	0	92	100	1	1	216	0	1	70	48	76	141	200	2
26	155	115	2	240	269	55	63	22	13	110	134	102	41	2	0	118	310	0	330	58	17	154	114	3
101	87	54	202	56	111	108	118	21	4	99	37	83	282	275	311	52	107	190	83	24	65	195	4	7
11	367	161	1	114	13	415	103	77	32	4	274	93	100	0	0	97	174	2	152	31	118	495	245	3
139	1	158	52	178	15	25	456	269	29	13	137	89	45	48	115	1	175	149	2	264	39	1	38	5
133	51	74	1	110	100	215	68	24	211	103	69	44	113	0	1	636	298	1	49	114	65	238	64	3
167	5	86	1	11	56	54	114	30	42	29	111	35	195	0	0	1	130	0	4	167	79	2	27	1
337	1	42	1	62	174	1	1	134	75	75	0	82	70	0	4	0	1	1	4	25	44	7	183	0
92	155	200	25	26	109	0	2	19	18	44	0	11	221	280	355	303	3	112	34	158	36	146	113	6
223	215	117	115	125	88	2	0	145	171	102	0	137	41	101	183	15	3	418	124	43	34	185	45	6
65	3	111	119	106	180	1	3	28	38	151	4	153	56	201	179	1	1	140	0	75	21	0	28	4
176	0	77	337	7	133	438	171	139	61	20	343	48	234	1043	105	2	34	125	3	108	50	0	100	5
160	0	64	0	57	19	3	0	99	36	49	0	141	75	3	0	1	1	2	2	46	28	1	51	0
47	2	230	177	130	166	302	54	104	199	85	204	56	147	179	112	0	443	178	0	125	103	4	4	5
249	88	20	85	256	95	4	1	4	114	61	1	33	93	404	363	493	2	412	291	78	44	15	93	6
101	0	359	0	109	18	1	0	72	8	137	2	196	54	1	0	1	0	2	0	167	11	0	114	0
84	4	64	69	15	43	253	99	9	107	188	55	64	117	47	271	170	232	84	51	116	82	264	33	7
43	1	46	486	194	182	82	79	30	101	84	103	201	152	182	132	0	204	427	1	58	29	1	100	5
399	249	36	0	152	48	0	1	84	76	71	1	153	7	0	0	43	2	0	175	67	2	278	39	2
